what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384620356508
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384620382653
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384620382825
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384620391155
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384620398456
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAs",1384620398456
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384620399673
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384620417410
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1384620428361
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384620430498
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384620433010
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1384620433010
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384620433884
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384620460123
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1384620460965
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1384620469483
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1384620681081
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1384620691549
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384620716025
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384620717367
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1384620729394
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1384620732468
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1384620750675
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1384620770565
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384620774402
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384620775479
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1384620777538
